# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Lesotho	Lesotho	Q1013	https://en.wikipedia.org/wiki/Lesotho	Lesotho (  lih-SOO-too; Sotho pronunciation: [lɪˈsʊːtʰʊ]), officially the Kingdom of Lesotho, is a landlocked country in Southern Africa.
Liberia	Liberia	Q1014	https://en.wikipedia.org/wiki/Liberia	Liberia, officially the Republic of Liberia, is a country on the West African coast.
Libya	Libya	Q1016	https://en.wikipedia.org/wiki/Libya	Libya, officially the State of Libya, is a country in the Maghreb region of North Africa.
Liechtenstein	Liechtenstein	Q347	https://en.wikipedia.org/wiki/Liechtenstein	Liechtenstein ( , LIK-tən-stine; pronounced [ˈlɪçtn̩ʃtaɪn] ; Alemannic German: Liachtaschta), officially the Principality of Liechtenstein (German: Fürstentum Liechtenstein [ˈfʏʁstn̩tuːm ˈlɪçtn̩ʃtaɪn] ), is a doubly landlocked country in the Central European Alps.
Lithuania	Lithuania	Q37	https://en.wikipedia.org/wiki/Lithuania	Lithuania, officially the Republic of Lithuania, is a country in the Baltic region of Europe.
Luxembourg	Luxembourg	Q32	https://en.wikipedia.org/wiki/Luxembourg	Luxembourg,  officially the Grand Duchy of Luxembourg, is a landlocked country in Western Europe.
Madagascar	Madagascar	Q1019	https://en.wikipedia.org/wiki/Madagascar	Madagascar, officially the Republic of Madagascar, is an island country in the Indian Ocean that includes the island of Madagascar and numerous smaller peripheral islands.
Malawi	Malawi	Q1020	https://en.wikipedia.org/wiki/Malawi	Malawi, officially the Republic of Malawi, is a landlocked country in Southeast Africa.
Malaysia	Malaysia	Q833	https://en.wikipedia.org/wiki/Malaysia	Malaysia is a country in Southeast Asia.
Maldives	Maldives	Q826	https://en.wikipedia.org/wiki/Maldives	The Maldives, officially the Republic of Maldives, and historically known as the Maldive Islands, is an archipelagic country in South Asia, located in the Indian Ocean, near the southeastern boundary of the Arabian Sea.
Mali	Mali	Q912	https://en.wikipedia.org/wiki/Mali	Mali, officially the Republic of Mali, is a landlocked country in West Africa.
Malta	Malta	Q233	https://en.wikipedia.org/wiki/Malta	Malta, officially the Republic of Malta, is an island country located in the central Mediterranean Sea.
Marshall_Islands	Marshall Islands	Q709	https://en.wikipedia.org/wiki/Marshall_Islands	The Marshall Islands, officially the Republic of the Marshall Islands, is an archipelagic country in Oceania.
Mauritania	Mauritania	Q1025	https://en.wikipedia.org/wiki/Mauritania	Mauritania, officially the Islamic Republic of Mauritania, is a country in the Maghreb region of West Africa.
Mauritius	Mauritius	Q1027	https://en.wikipedia.org/wiki/Mauritius	Mauritius, officially the Republic of Mauritius, is an island country in the Indian Ocean, located about 1,100 nautical miles (2,000 km; 1,300 mi) off the southeastern coast of Africa, east of Madagascar.
Mexico	Mexico	Q96	https://en.wikipedia.org/wiki/Mexico	Mexico, officially the United Mexican States, is a country in North America.
Moldova	Moldova	Q217	https://en.wikipedia.org/wiki/Moldova	Moldova, officially the Republic of Moldova, is a landlocked country in Eastern Europe, with an area of 33,843 km2 (13,067 sq mi) and a population of 2.38 million.
Monaco	Monaco	Q235	https://en.wikipedia.org/wiki/Monaco	Monaco, officially the Principality of Monaco, is a sovereign city-state and microstate in Western Europe.
Mongolia	Mongolia	Q711	https://en.wikipedia.org/wiki/Mongolia	Mongolia is a landlocked country in East Asia.
Montenegro	Montenegro	Q236	https://en.wikipedia.org/wiki/Montenegro	Montenegro is a country in Southeast Europe, on the Balkan Peninsula.
Morocco	Morocco	Q1028	https://en.wikipedia.org/wiki/Morocco	Morocco, officially the Kingdom of Morocco, is a country in the Maghreb region of North Africa.
Mozambique	Mozambique	Q1029	https://en.wikipedia.org/wiki/Mozambique	Mozambique, officially the Republic of Mozambique, is a country in Southeast Africa bordered by the Indian Ocean to the east, Tanzania to the north, Malawi and Zambia to the northwest, Zimbabwe to the west, and Eswatini and South Africa to the south and southwest.
Myanmar	Myanmar	Q836	https://en.wikipedia.org/wiki/Myanmar	Myanmar, officially the Republic of the Union of Myanmar and also referred to as Burma (the official English name until 1989), is a country in northwest Southeast Asia.
Namibia	Namibia	Q1030	https://en.wikipedia.org/wiki/Namibia	Namibia, officially the Republic of Namibia, is a country in Southern Africa.
Nauru	Nauru	Q697	https://en.wikipedia.org/wiki/Nauru	Nauru, officially the Republic of Naoero, is an island country and microstate in the South Pacific Ocean.
Nepal	Nepal	Q837	https://en.wikipedia.org/wiki/Nepal	Nepal, officially the Federal Democratic Republic of Nepal, is a landlocked country in South Asia.
Netherlands	Netherlands	Q55	https://en.wikipedia.org/wiki/Netherlands	The Netherlands, also informally known as Holland, is a country in Northwestern Europe, with overseas territories in the Caribbean.
New_Zealand	New Zealand	Q664	https://en.wikipedia.org/wiki/New_Zealand	New Zealand is an island country in the southwestern Pacific Ocean.
Nicaragua	Nicaragua	Q811	https://en.wikipedia.org/wiki/Nicaragua	Nicaragua, officially the Republic of Nicaragua, is a country in Central America, comprising 130,370 square kilometers (50,340 sq mi).
Niger	Niger	Q1032	https://en.wikipedia.org/wiki/Niger	Niger, officially the Republic of the Niger, is a landlocked country in West Africa.
Nigeria	Nigeria	Q1033	https://en.wikipedia.org/wiki/Nigeria	Nigeria, officially the Federal Republic of Nigeria, is a country in West Africa between the Sahel to the north and the Gulf of Guinea in the Atlantic Ocean to the south.
North_Korea	North Korea	Q423	https://en.wikipedia.org/wiki/North_Korea	North Korea, officially the Democratic People's Republic of Korea (DPRK), is a country in East Asia.
North_Macedonia	North Macedonia	Q221	https://en.wikipedia.org/wiki/North_Macedonia	North Macedonia, officially the Republic of North Macedonia, is a landlocked country in Southeast Europe.
Norway	Norway	Q20	https://en.wikipedia.org/wiki/Norway	Norway, officially the Kingdom of Norway, is a Nordic country comprising the western and northernmost parts of the Scandinavian Peninsula in Northern Europe, the remote Arctic island Jan Mayen and the archipelago Svalbard.
Oman	Oman	Q842	https://en.wikipedia.org/wiki/Oman	Oman, officially the Sultanate of Oman, is a country in the southeastern Arabian Peninsula in West Asia.
Pakistan	Pakistan	Q843	https://en.wikipedia.org/wiki/Pakistan	Pakistan, officially the Islamic Republic of Pakistan, is a country in South Asia.
Palau	Palau	Q695	https://en.wikipedia.org/wiki/Palau	Palau, officially the Republic of Palau, is an island country located in the Micronesia subregion of Oceania in the western Pacific Ocean.
Panama	Panama	Q804	https://en.wikipedia.org/wiki/Panama	Panama, officially the Republic of Panama, is a country located at the southern end of Central America in North America, bordering South America.
Papua_New_Guinea	Papua New Guinea	Q691	https://en.wikipedia.org/wiki/Papua_New_Guinea	Papua New Guinea (PNG), officially the Independent State of Papua New Guinea, is an island country in Oceania that comprises the eastern half of the island of New Guinea and offshore islands in Melanesia, a region of the southwestern Pacific Ocean north of Australia.
Paraguay	Paraguay	Q733	https://en.wikipedia.org/wiki/Paraguay	Paraguay, officially the Republic of Paraguay, is a landlocked country located in the central region of South America.
Peru	Peru	Q419	https://en.wikipedia.org/wiki/Peru	Peru, officially the Republic of Peru, is a country in western South America.
Philippines	Philippines	Q928	https://en.wikipedia.org/wiki/Philippines	The Philippines, officially the Republic of the Philippines, is an archipelagic country in Southeast Asia.
Poland	Poland	Q36	https://en.wikipedia.org/wiki/Poland	Poland, officially the Republic of Poland, is a country in Central Europe.
Portugal	Portugal	Q45	https://en.wikipedia.org/wiki/Portugal	Portugal, officially the Portuguese Republic, is a country in Southwestern Europe.
Qatar	Qatar	Q846	https://en.wikipedia.org/wiki/Qatar	Qatar, officially the State of Qatar, is a country in West Asia.
Republic_of_Ireland	Republic of Ireland	Q27	https://en.wikipedia.org/wiki/Republic_of_Ireland	Ireland (Irish: Éire [ˈeːɾʲə] ), also known as the Republic of Ireland (Poblacht na hÉireann), is a country in Northwestern Europe.
Republic_of_the_Congo	Republic of the Congo	Q971	https://en.wikipedia.org/wiki/Republic_of_the_Congo	The Republic of the Congo, also known as Congo-Brazzaville, the Congo Republic or simply Congo, is a country located on the western coast of Central Africa to the west of the Congo River.
Romania	Romania	Q218	https://en.wikipedia.org/wiki/Romania	Romania is a country in Central and Southeastern Europe.
Russia	Russia	Q159	https://en.wikipedia.org/wiki/Russia	Russia, or the Russian Federation, is a country in Eastern Europe and North Asia.
Rwanda	Rwanda	Q1037	https://en.wikipedia.org/wiki/Rwanda	Rwanda, officially the Republic of Rwanda, is a landlocked country in East Africa.
Saint_Kitts_and_Nevis	Saint Kitts and Nevis	Q763	https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis	Saint Kitts and Nevis (SKN), officially the Federation of Saint Christopher and Nevis or the Federation of Saint Kitts and Nevis, is an island country located in the Caribbean consisting of the two islands of Saint Kitts and Nevis, in the Leeward Islands chain of the Lesser Antilles.
Saint_Lucia	Saint Lucia	Q760	https://en.wikipedia.org/wiki/Saint_Lucia	Saint Lucia (also written as St.
